loss,accuracy,val_loss,val_accuracy
0.6897847056388855,0.5732499957084656,0.6350678205490112,0.6557999849319458
0.6276184320449829,0.6521499752998352,0.5795927047729492,0.703000009059906
0.5966187715530396,0.6814500093460083,0.5486269593238831,0.7301999926567078
0.5677984356880188,0.7073000073432922,0.5224573016166687,0.7473999857902527
0.5515056252479553,0.7178500294685364,0.5168361663818359,0.745199978351593
0.538491427898407,0.7279999852180481,0.49214252829551697,0.7648000121116638
0.5176312923431396,0.7417500019073486,0.46270880103111267,0.7886000275611877
0.5065146088600159,0.7501500248908997,0.44352343678474426,0.7955999970436096
0.49758511781692505,0.7572500109672546,0.4385818839073181,0.7973999977111816
0.48471787571907043,0.7695500254631042,0.43429526686668396,0.798799991607666
